,abilities_number,ability_1,ability_2,ability_hidden,attack,base_experience,base_friendship,catch_rate,defense,egg_cycles,egg_type_1,egg_type_2,egg_type_number,generation,growth_rate,height_m,hp,is_legendary,is_mythical,is_sub_legendary,name,percentage_male,pokedex_number,sp_attack,sp_defense,species,speed,total_points,type_1,type_2,type_number,weight_kg
0,2,Overgrow,,Chlorophyll,49.0,64.0,70.0,45.0,49.0,20.0,Grass,Monster,2,1,Medium Slow,0.7,45.0,0,0,0,Bulbasaur,87.5,1,65.0,65.0,Seed Pokémon,45.0,318.0,Grass,Poison,2,6.9
1,2,Overgrow,,Chlorophyll,62.0,142.0,70.0,45.0,63.0,20.0,Grass,Monster,2,1,Medium Slow,1.0,60.0,0,0,0,Ivysaur,87.5,2,80.0,80.0,Seed Pokémon,60.0,405.0,Grass,Poison,2,13.0
2,2,Overgrow,,Chlorophyll,82.0,236.0,70.0,45.0,83.0,20.0,Grass,Monster,2,1,Medium Slow,2.0,80.0,0,0,0,Venusaur,87.5,3,100.0,100.0,Seed Pokémon,80.0,525.0,Grass,Poison,2,100.0
3,1,Thick Fat,,,100.0,281.0,70.0,45.0,123.0,20.0,Grass,Monster,2,1,Medium Slow,2.4,80.0,0,0,0,Mega Venusaur,87.5,3,122.0,120.0,Seed Pokémon,80.0,625.0,Grass,Poison,2,155.5
4,2,Blaze,,Solar Power,52.0,62.0,70.0,45.0,43.0,20.0,Dragon,Monster,2,1,Medium Slow,0.6,39.0,0,0,0,Charmander,87.5,4,60.0,50.0,Lizard Pokémon,65.0,309.0,Fire,,1,8.5
5,2,Blaze,,Solar Power,64.0,142.0,70.0,45.0,58.0,20.0,Dragon,Monster,2,1,Medium Slow,1.1,58.0,0,0,0,Charmeleon,87.5,5,80.0,65.0,Flame Pokémon,80.0,405.0,Fire,,1,19.0
6,2,Blaze,,Solar Power,84.0,240.0,70.0,45.0,78.0,20.0,Dragon,Monster,2,1,Medium Slow,1.7,78.0,0,0,0,Charizard,87.5,6,109.0,85.0,Flame Pokémon,100.0,534.0,Fire,Flying,2,90.5
7,1,Tough Claws,,,130.0,285.0,70.0,45.0,111.0,20.0,Dragon,Monster,2,1,Medium Slow,1.7,78.0,0,0,0,Mega Charizard X,87.5,6,130.0,85.0,Flame Pokémon,100.0,634.0,Fire,Dragon,2,110.5
8,1,Drought,,,104.0,285.0,70.0,45.0,78.0,20.0,Dragon,Monster,2,1,Medium Slow,1.7,78.0,0,0,0,Mega Charizard Y,87.5,6,159.0,115.0,Flame Pokémon,100.0,634.0,Fire,Flying,2,100.5
9,2,Torrent,,Rain Dish,48.0,63.0,70.0,45.0,65.0,20.0,Monster,Water 1,2,1,Medium Slow,0.5,44.0,0,0,0,Squirtle,87.5,7,50.0,64.0,Tiny Turtle Pokémon,43.0,314.0,Water,,1,9.0
10,2,Torrent,,Rain Dish,63.0,142.0,70.0,45.0,80.0,20.0,Monster,Water 1,2,1,Medium Slow,1.0,59.0,0,0,0,Wartortle,87.5,8,65.0,80.0,Turtle Pokémon,58.0,405.0,Water,,1,22.5
11,2,Torrent,,Rain Dish,83.0,239.0,70.0,45.0,100.0,20.0,Monster,Water 1,2,1,Medium Slow,1.6,79.0,0,0,0,Blastoise,87.5,9,85.0,105.0,Shellfish Pokémon,78.0,530.0,Water,,1,85.5
12,1,Mega Launcher,,,103.0,284.0,70.0,45.0,120.0,20.0,Monster,Water 1,2,1,Medium Slow,1.6,79.0,0,0,0,Mega Blastoise,87.5,9,135.0,115.0,Shellfish Pokémon,78.0,630.0,Water,,1,101.1
13,2,Shield Dust,,Run Away,30.0,39.0,70.0,255.0,35.0,15.0,Bug,,1,1,Medium Fast,0.3,45.0,0,0,0,Caterpie,50.0,10,20.0,20.0,Worm Pokémon,45.0,195.0,Bug,,1,2.9
14,1,Shed Skin,,,20.0,72.0,70.0,120.0,55.0,15.0,Bug,,1,1,Medium Fast,0.7,50.0,0,0,0,Metapod,50.0,11,25.0,25.0,Cocoon Pokémon,30.0,205.0,Bug,,1,9.9
15,2,Compound Eyes,,Tinted Lens,45.0,178.0,70.0,45.0,50.0,15.0,Bug,,1,1,Medium Fast,1.1,60.0,0,0,0,Butterfree,50.0,12,90.0,80.0,Butterfly Pokémon,70.0,395.0,Bug,Flying,2,32.0
16,2,Shield Dust,,Run Away,35.0,39.0,70.0,255.0,30.0,15.0,Bug,,1,1,Medium Fast,0.3,40.0,0,0,0,Weedle,50.0,13,20.0,20.0,Hairy Bug Pokémon,50.0,195.0,Bug,Poison,2,3.2
17,1,Shed Skin,,,25.0,72.0,70.0,120.0,50.0,15.0,Bug,,1,1,Medium Fast,0.6,45.0,0,0,0,Kakuna,50.0,14,25.0,25.0,Cocoon Pokémon,35.0,205.0,Bug,Poison,2,10.0
18,2,Swarm,,Sniper,90.0,178.0,70.0,45.0,40.0,15.0,Bug,,1,1,Medium Fast,1.0,65.0,0,0,0,Beedrill,50.0,15,45.0,80.0,Poison Bee Pokémon,75.0,395.0,Bug,Poison,2,29.5
19,1,Adaptability,,,150.0,223.0,70.0,45.0,40.0,15.0,Bug,,1,1,Medium Fast,1.4,65.0,0,0,0,Mega Beedrill,50.0,15,15.0,80.0,Poison Bee Pokémon,145.0,495.0,Bug,Poison,2,40.5
20,3,Keen Eye,Tangled Feet,Big Pecks,45.0,50.0,70.0,255.0,40.0,15.0,Flying,,1,1,Medium Slow,0.3,40.0,0,0,0,Pidgey,50.0,16,35.0,35.0,Tiny Bird Pokémon,56.0,251.0,Normal,Flying,2,1.8
21,3,Keen Eye,Tangled Feet,Big Pecks,60.0,122.0,70.0,120.0,55.0,15.0,Flying,,1,1,Medium Slow,1.1,63.0,0,0,0,Pidgeotto,50.0,17,50.0,50.0,Bird Pokémon,71.0,349.0,Normal,Flying,2,30.0
22,3,Keen Eye,Tangled Feet,Big Pecks,80.0,216.0,70.0,45.0,75.0,15.0,Flying,,1,1,Medium Slow,1.5,83.0,0,0,0,Pidgeot,50.0,18,70.0,70.0,Bird Pokémon,101.0,479.0,Normal,Flying,2,39.5
23,1,No Guard,,,80.0,261.0,70.0,45.0,80.0,15.0,Flying,,1,1,Medium Slow,2.2,83.0,0,0,0,Mega Pidgeot,50.0,18,135.0,80.0,Bird Pokémon,121.0,579.0,Normal,Flying,2,50.5
24,3,Run Away,Guts,Hustle,56.0,51.0,70.0,255.0,35.0,15.0,Field,,1,1,Medium Fast,0.3,30.0,0,0,0,Rattata,50.0,19,25.0,35.0,Mouse Pokémon,72.0,253.0,Normal,,1,3.5
25,3,Gluttony,Hustle,Thick Fat,56.0,51.0,70.0,255.0,35.0,15.0,Field,,1,1,Medium Fast,0.3,30.0,0,0,0,Alolan Rattata,50.0,19,25.0,35.0,Mouse Pokémon,72.0,253.0,Dark,Normal,2,3.8
