Data;País;Status;IQA;
12/01/2023;Albania;Bom;9;
12/01/2023;Algeria;Moderado;65;
12/01/2023;Andorra;Bom;9;
12/01/2023;Angola;Bom;45;
12/01/2023;Argentina;Bom;19;
12/01/2023;Armenia;Moderado;95;
12/01/2023;Australia;Moderado;59;
12/01/2023;Austria;Bom;24;
12/01/2023;Azerbaijan;Bom;32;
12/01/2023;Bangladesh;Insalubre para grupos sensíveis;141;
12/01/2023;Belarus;Moderado;55;
12/01/2023;Belgium;Bom;11;
12/01/2023;Belize;Bom;45;
12/01/2023;Bermuda;Bom;1;
12/01/2023;Bosnia and Herzegovina;Insalubre;159;
12/01/2023;Brazil;Moderado;57;
12/01/2023;Brunei;Bom;10;
12/01/2023;Bulgaria;Bom;21;
12/01/2023;Burkina Faso;Perigoso;326;
12/01/2023;Cambodia;Bom;15;
12/01/2023;Canada;Moderado;85;
12/01/2023;Cape Verde;Moderado;62;
12/01/2023;Central African Republic;Muito insalubre;261;
12/01/2023;Chad;Insalubre;159;
12/01/2023;Chile;Moderado;51;
12/01/2023;China;Perigoso;339;
12/01/2023;Colombia;Moderado;80;
12/01/2023;Costa Rica;Bom;13;
12/01/2023;Croatia;Bom;28;
12/01/2023;Cyprus;Bom;43;
12/01/2023;Czech Republic;Moderado;66;
12/01/2023;Denmark;Bom;30;
12/01/2023;Dominican Republic;Bom;21;
12/01/2023;Ecuador;Bom;29;
12/01/2023;Egypt;Moderado;86;
12/01/2023;El Salvador;Moderado;52;
12/01/2023;Estonia;Bom;22;
12/01/2023;Ethiopia;Insalubre para grupos sensíveis;150;
12/01/2023;Finland;Bom;16;
12/01/2023;France;Moderado;67;
12/01/2023;French Guiana;Bom;29;
12/01/2023;Gabon;Insalubre para grupos sensíveis;102;
12/01/2023;Georgia;Bom;47;
12/01/2023;Germany;Bom;30;
12/01/2023;Ghana;Moderado;83;
12/01/2023;Greece;Bom;48;
12/01/2023;Grenada;Bom;22;
12/01/2023;Guadeloupe;Bom;14;
12/01/2023;Guam;Bom;1;
12/01/2023;Guatemala;Bom;47;
12/01/2023;Honduras;Bom;32;
12/01/2023;Hong Kong;Moderado;52;
12/01/2023;Iceland;Bom;7;
12/01/2023;India;Perigoso;332;
12/01/2023;Indonesia;Moderado;93;
12/01/2023;Iran;Insalubre para grupos sensíveis;131;
12/01/2023;Iraq;Perigoso;307;
12/01/2023;Ireland;Bom;38;
12/01/2023;Israel;Moderado;75;
12/01/2023;Italy;Moderado;72;
12/01/2023;Ivory Coast;Insalubre para grupos sensíveis;107;
12/01/2023;Japan;Insalubre para grupos sensíveis;128;
12/01/2023;Jersey;Moderado;62;
12/01/2023;Jordan;Bom;21;
12/01/2023;Kazakhstan;Insalubre para grupos sensíveis;105;
12/01/2023;Kenya;Moderado;97;
12/01/2023;Kosovo;Moderado;58;
12/01/2023;Kuwait;Moderado;54;
12/01/2023;Kyrgyzstan;Insalubre para grupos sensíveis;138;
12/01/2023;Laos;Moderado;78;
12/01/2023;Latvia;Bom;29;
12/01/2023;Lebanon;Moderado;76;
12/01/2023;Liberia;Moderado;88;
12/01/2023;Liechtenstein;Bom;14;
12/01/2023;Lithuania;Bom;27;
12/01/2023;Luxembourg;Bom;24;
12/01/2023;Macao;Moderado;63;
12/01/2023;Macedonia;Moderado;65;
12/01/2023;Madagascar;Moderado;62;
12/01/2023;Malaysia;Bom;46;
12/01/2023;Malta;Bom;34;
12/01/2023;Martinique;Bom;36;
12/01/2023;Mexico;Insalubre;162;
12/01/2023;Moldova;Bom;33;
12/01/2023;Monaco;Bom;29;
12/01/2023;Mongolia;Moderado;88;
12/01/2023;Montenegro;Moderado;80;
12/01/2023;Myanmar;Insalubre para grupos sensíveis;138;
12/01/2023;Nepal;Insalubre para grupos sensíveis;114;
12/01/2023;Netherlands;Bom;29;
12/01/2023;New Caledonia;Bom;20;
12/01/2023;New Zealand;Bom;20;
12/01/2023;Nigeria;Insalubre para grupos sensíveis;105;
12/01/2023;Norway;Bom;23;
12/01/2023;Pakistan;Moderado;91;
12/01/2023;Palestinian Territory;Bom;26;
12/01/2023;Peru;Moderado;91;
12/01/2023;Philippines;Moderado;83;
12/01/2023;Poland;Moderado;86;
12/01/2023;Portugal;Bom;20;
12/01/2023;Puerto Rico;Bom;21;
12/01/2023;Qatar;Insalubre;183;
12/01/2023;Reunion;Bom;18;
12/01/2023;Romania;Insalubre para grupos sensíveis;129;
12/01/2023;Russia;Insalubre para grupos sensíveis;103;
12/01/2023;San Marino;Bom;24;
12/01/2023;Saudi Arabia;Insalubre para grupos sensíveis;102;
12/01/2023;Senegal;Bom;33;
12/01/2023;Serbia;Insalubre;165;
12/01/2023;Singapore;Bom;29;
12/01/2023;Slovakia;Moderado;83;
12/01/2023;Slovenia;Moderado;72;
12/01/2023;South Africa;Moderado;83;
12/01/2023;South Korea;Insalubre;161;
12/01/2023;Spain;Modetado;96;
12/01/2023;Sri Lanka;Moderado;92;
12/01/2023;Sudan;Insalubre para grupos sensíveis;107;
12/01/2023;Sweden;Bom;24;
12/01/2023;Switzerland;Bom;24;
12/01/2023;Taiwan;Insalubre para grupos sensíveis;119;
12/01/2023;Tajikistan;Insalubre;151;
12/01/2023;Thailand;Insalubre para grupos sensíveis;149;
12/01/2023;Trinidad and Tobago;Bom;44;
12/01/2023;Turkey;Insalubre;180;
12/01/2023;Turkmenistan;Moderado;68;
12/01/2023;Uganda;Insalubre para grupos sensíveis;143;
12/01/2023;Ukraine;Moderado;82;
12/01/2023;United Arab Emirates;Moderado;57;
12/01/2023;United Kingdom of Great Britain and Northern Ireland;Bom;46;
12/01/2023;United States of America;Insalubre para grupos sensíveis;130;
12/01/2023;Uzbekistan;Insalubre;152;
12/01/2023;Vatican;Bom;46;
12/01/2023;Venezuela;Bom;24;
12/01/2023;Vietnam;Insalubre para grupos sensíveis;105;
12/01/2023;Zambia;Moderado;59;
30/03/2023;Albania;Moderado;72;
30/03/2023;Algeria;Bom;50;
30/03/2023;Andorra;Bom;35;
30/03/2023;Angola;Moderado;80;
30/03/2023;Argentina;Bom;25;
30/03/2023;Armenia;Bom;30;
30/03/2023;Australia;Bom;29;
30/03/2023;Austria;Bom;24;
30/03/2023;Azerbaijan;Bom;40;
30/03/2023;Bangladesh;Insalubre para grupos sensíveis;150;
30/03/2023;Belarus;Moderado;54;
30/03/2023;Belgium;Bom;32;
30/03/2023;Belize;Bom;29;
30/03/2023;Bermuda;Bom;10;
30/03/2023;Bolivia;Bom;8;
30/03/2023;Bosnia and Herzegovina;Moderado;61;
30/03/2023;Brazil;Moderado;58;
30/03/2023;Brunei;Bom;10;
30/03/2023;Bulgaria;Bom;31;
30/03/2023;Burkina Faso;Perigoso;327;
30/03/2023;Cambodia;Moderado;87;
30/03/2023;Canada;Moderado;66;
30/03/2023;Cape Verde;Moderado;53;
30/03/2023;Cayman Islands;Bom;10;
30/03/2023;Central African Republic;Insalubre;156;
30/03/2023;Chad;Insalubre;155;
30/03/2023;Chile;Moderado;71;
30/03/2023;China;Muito insalubre;273;
30/03/2023;Colombia;Moderado;86;
30/03/2023;Costa Rica;Bom;14;
