url,family,type,fat_content,calcium_content,texture,rind,color,flavor,aroma,vegetarian,vegan,synonyms,alt_spellings,producers
https://www.cheese.com/maredsous/,,soft,,,,,,,,False,False,,,
https://www.cheese.com/la-bonaparte/,Brie,"soft, soft-ripened",28%,,"creamy, soft, soft-ripened, supple",bloomy,cream,"creamy, mild, milky","fresh, mild",,,,,La Maison Alexis de Portneuf Inc.
https://www.cheese.com/pecorino-boccondilatte/,Pecorino,"semi-hard, artisan",,,crumbly,natural,white,"subtle, sweet",pronounced,,,,,Romaniae Terrae
https://www.cheese.com/brusselae-kaas-fromage-de-bruxelles/,,"soft, artisan",,,smooth,washed,pale yellow,"salty, sharp",strong,False,False,,,
https://www.cheese.com/alpe-di-frabosa/,,semi-soft,,,,,,bitter,"milky, mushroom",False,False,,,
https://www.cheese.com/chevre-en-marinade/,,"semi-soft, artisan",,,"creamy, crumbly, firm, oily",rindless,white,"garlicky, herbaceous, spicy","aromatic, pungent",True,False,,,Haystack Mountain Creamery
https://www.cheese.com/perl-wen/,,semi-soft,,,"creamy, smooth, soft",,white,citrusy,,,,,,
https://www.cheese.com/auld-lochnagar/,,hard,,,"compact, crumbly",natural,orange,"grassy, mellow, subtle, tangy",mild,,,,,The Cambus O’May Cheese Company
https://www.cheese.com/cornish-blue/,Blue,"semi-soft, artisan",,,"buttery, dense",,,"creamy, mild, sweet","buttery, mild, sweet",True,False,,,Cornish Cheese Company Ltd
https://www.cheese.com/brie-au-poivre-brie-with-pepper/,Brie,"soft, soft-ripened",,,creamy,bloomy,,"creamy, spicy",spicy,,,,,
https://www.cheese.com/bad-axe/,,"semi-hard, artisan",,,"creamy, firm, smooth",waxed,white,"creamy, smooth, tart",fresh,True,False,,,Hidden Springs Company
https://www.cheese.com/chelsea-blue/,Blue,artisan,,,crumbly,,,"nutty, salty, sweet","nutty, sweet",True,False,,,BoatShed Cheese
https://www.cheese.com/pleasant-ridge-reserve/,,"semi-hard, artisan",,,"crystalline, firm, smooth",washed,golden yellow,"creamy, full-flavored, grassy, nutty",,False,False,Uplands Pleasant Ridge,,Uplands Cheese Company
https://www.cheese.com/alex-james-co-no-3-valley-brie/,,"soft, semi-soft",,,"buttery, creamy, semi firm, smooth, soft",,pale white,,,,,,,
https://www.cheese.com/airedale/,,"semi-soft, artisan",,,smooth,waxed,pale yellow,"full-flavored, milky, salty, tangy","grassy, strong",True,False,,Aged Airedale,Whitestone Cheese
https://www.cheese.com/stella-smoked-blue/,Blue,"semi-soft, artisan",,,"creamy, crumbly",natural,white,"creamy, subtle","pleasant, smokey",True,False,,,Stella
https://www.cheese.com/sartori-reserve-raspberry-bellavitano/,Cheddar,"hard, artisan",,,creamy,natural,pale yellow,"buttery, creamy, fruity, nutty, sweet","fruity, nutty, rich",True,False,,,Sartori
https://www.cheese.com/cote-hill-snowdrop/,,"soft, artisan, soft-ripened",,,"creamy, smooth",,white,savory,,,,,,Cote Hill Farm
https://www.cheese.com/st-pat/,,"semi-soft, artisan",,,"creamy, soft",bloomy,pale yellow,"full-flavored, mellow","rich, smokey",True,False,,,Cowgirl Creamery
https://www.cheese.com/brimstone/,Gouda,"semi-hard, artisan",,,crumbly,rindless,pale yellow,"smooth, spicy",spicy,True,False,,,Heartland Creamery
