cheese,url,milk,country,region
Maredsous,https://www.cheese.com/maredsous/,cow,Belgium,
La Bonaparte,https://www.cheese.com/la-bonaparte/,cow,Canada,Quebec
Pecorino Boccondilatte,https://www.cheese.com/pecorino-boccondilatte/,sheep,Italy,Emilia-Romagna
Brusselae Kaas (Fromage de Bruxelles),https://www.cheese.com/brusselae-kaas-fromage-de-bruxelles/,cow,Belgium,
Alpe di Frabosa,https://www.cheese.com/alpe-di-frabosa/,cow,Italy,
Chevre en Marinade,https://www.cheese.com/chevre-en-marinade/,goat,United States,Colorado
Perl Wen,https://www.cheese.com/perl-wen/,cow,"United Kingdom, Wales",
Auld Lochnagar,https://www.cheese.com/auld-lochnagar/,cow,Scotland,
Cornish Blue,https://www.cheese.com/cornish-blue/,cow,England,Cornwall
Brie au poivre (Brie with pepper),https://www.cheese.com/brie-au-poivre-brie-with-pepper/,cow,France,
Bad Axe,https://www.cheese.com/bad-axe/,sheep,United States,Wisconsin
Chelsea Blue,https://www.cheese.com/chelsea-blue/,,Australia,"Mornington Peninsula, Melbourne"
Pleasant Ridge Reserve,https://www.cheese.com/pleasant-ridge-reserve/,cow,United States,Wisconsin
Alex James Co. No 3 Valley Brie,https://www.cheese.com/alex-james-co-no-3-valley-brie/,cow,United Kingdom,
Airedale,https://www.cheese.com/airedale/,cow,New Zealand,Airedale farming district
Stella Smoked Blue,https://www.cheese.com/stella-smoked-blue/,cow,United States,Wisconsin
Sartori Reserve Raspberry BellaVitano,https://www.cheese.com/sartori-reserve-raspberry-bellavitano/,cow,United States,Wisconsin
Cote Hill Snowdrop,https://www.cheese.com/cote-hill-snowdrop/,cow,,
St Pat,https://www.cheese.com/st-pat/,cow,United States,California
Brimstone,https://www.cheese.com/brimstone/,cow,United States,Missouri
Bruder Basil,https://www.cheese.com/bruder-basil/,cow,Germany,Bavaria
La Peral,https://www.cheese.com/la-peral/,cow,Spain,
Lemon Myrtle Chevre,https://www.cheese.com/lemon-myrtle-chevre/,goat,Australia,South Australia
Shtayburne Farm Monterey Jack,https://www.cheese.com/shtayburne-farm-monterey-jack/,cow,United States,NY
Cream Havarti,https://www.cheese.com/cream-havarti/,cow,Denmark,
Piora,https://www.cheese.com/piora/,cow,Switzerland,Piora Valley
Blythedale Camembert Vermont™,https://www.cheese.com/blythedale-camembert/,cow,United States,Vermont
Stella Asiago,https://www.cheese.com/stella-asiago/,cow,Italy,Asiago
Pecorino Ortica,https://www.cheese.com/pecorino-ortica/,sheep,Italy,Emilia-Romagna
Serat,https://www.cheese.com/serat/,sheep,Afghanistan,
Bleu d'Auvergne,https://www.cheese.com/bleu-dauvergne/,cow,France,Auvergne
Baluchon,https://www.cheese.com/baluchon/,cow,Canada,Quebec
L'Ecir de l'Aubrac,https://www.cheese.com/lecir-de-laubrac/,cow,France,Auvergne
Chapman's Pasture,https://www.cheese.com/chapmans-pasture/,cow,United States,Vermont
Barber's 1833,https://www.cheese.com/barbers-1833/,cow,England,
Millstone,https://www.cheese.com/millstone/,sheep,England,Somerset
Le Duc Vacherin,https://www.cheese.com/le-duc-vacherin/,cow,France,Franche Comté
Penbryn,https://www.cheese.com/penbryn/,cow,"Great Britain, United Kingdom, Wales",
Montasio Vecchio,https://www.cheese.com/montasio-vecchio/,cow,Italy,Friuli Venezia Giulia and Veneto
Lappi,https://www.cheese.com/lappi/,cow,Finland,Lapland
Crucolo,https://www.cheese.com/crucolo/,cow,Italy,
Pecorino Pera,https://www.cheese.com/pecorino-pera/,sheep,Italy,Emilia-Romagna
Monte Enebro,https://www.cheese.com/monte-enebro/,goat,Spain,Avila
Caws Penhelyg Abaty,https://www.cheese.com/caws-penhelyg-abaty/,cow,Wales,
Cornish Smuggler,https://www.cheese.com/cornish-smuggler/,cow,England,North Cornwall
Pecorino Erica,https://www.cheese.com/pecorino-erica/,sheep,Italy,Emilia-Romagna
Consider Bardwell Farm Manchester,https://www.cheese.com/consider-bardwell-farm-manchester/,goat,United States,Vermont
Bassigny au porto,https://www.cheese.com/bassigny-au-porto/,cow,Belgium,
Carr Valley Glacier Wildfire Blue,https://www.cheese.com/carr-valley-glacier-wildfire-blue/,cow,United States,Wisconsin
Pecorino Papavero,https://www.cheese.com/pecorino-papavero/,sheep,Italy,Emilia-Romagna
Petit Pardou,https://www.cheese.com/petit-pardou/,cow,France,Laruns
Cotherstone,https://www.cheese.com/cotherstone/,cow,"England, United Kingdom",Cotherstone
Mastorazio,https://www.cheese.com/mastorazio/,sheep,Italy,Campania
Stella Goat,https://www.cheese.com/stella-goat/,goat,United States,Wisconsin
Brick Lane Bree,https://www.cheese.com/vegan-brick-lane-bree-cheese/,plant-based,United Kingdom,
Cherni Vit,https://www.cheese.com/cherni-vit/,sheep,Bulgaria,Central Balkan Mountains
MouCo Truffello,https://www.cheese.com/truffello/,cow,United States,Colorado
Seator's Orkney,https://www.cheese.com/seators-orkney/,cow,"Great Britain, Scotland, United Kingdom",Orkney Islands
Stella Reduced Fat Blue,https://www.cheese.com/stella-reduced-fat-blue/,cow,United States,Wisconsin
Sartori Reserve Espresso BellaVitano,https://www.cheese.com/sartori-reserve-espresso-bellavitano/,cow,United States,Wisconsin
Camembert de Portneuf,https://www.cheese.com/camembert-de-portneuf/,cow,Canada,Quebec
Amul Emmental,https://www.cheese.com/amul-emmental/,cow,India,Gujarat
Barry's Bay Cheddar,https://www.cheese.com/barrys-bay-cheddar/,cow,New Zealand,Banks Peninsular in Canterbury
La Tur,https://www.cheese.com/la-tur/,"cow, goat, sheep",Italy,Alba
Capricorn Somerset Goats Cheese,https://www.cheese.com/capricorn-somerset-goats-cheese/,goat,England,Somerset
Bath Soft Cheese Truffled,https://www.cheese.com/bath-soft-cheese-truffled/,cow,United Kingdom,
Manchego,https://www.cheese.com/manchego/,sheep,Spain,
Sharpham Elmhirst,https://www.cheese.com/sharpham-elmhirst/,cow,"England, Great Britain, United Kingdom",Devon
Caciobarricato,https://www.cheese.com/caciobarricato/,cow,Italy,Veneto
Lajta,https://www.cheese.com/lajta/,cow,Hungary,
Macconais,https://www.cheese.com/macconais/,"cow, goat",France,Bourgogne
Pitchfork Cheddar,https://www.cheese.com/pitchfork-cheddar/,cow,England,
Beach Box Brie,https://www.cheese.com/beach-box-brie/,cow,Australia,"Mornington Peninsula, Melbourne"
Maribo,https://www.cheese.com/maribo/,cow,Denmark,Maribo
Sartori Classic MontAmore,https://www.cheese.com/sartori-classic-montamore/,cow,United States,Wisconsin
Ms. Natural,https://www.cheese.com/ms-natural/,goat,United States,California
Cacio di Bosco al Tartufo,https://www.cheese.com/cacio-di-bosco-al-tartufo/,"cow, sheep",Italy,Tuscany
Liptauer,https://www.cheese.com/liptauer/,cow,United States,"Ann Arbor, Michigan"
Campi,https://www.cheese.com/campi/,water buffalo,Italy,Lombardy
Coeur de Chevre,https://www.cheese.com/coeur-de-chevre/,goat,France,Gâtinais
Moses Sleeper,https://www.cheese.com/moses-sleeper/,cow,United States,Vermont
Maggie's Round,https://www.cheese.com/maggies-round/,cow,United States,Massachusetts
St Gall,https://www.cheese.com/st-gall/,cow,Ireland,Co. Cork
Schloss,https://www.cheese.com/schloss/,cow,United States,
Boo Boo Baby Swiss,https://www.cheese.com/boo-boo-baby-swiss/,cow,United States,Utah
Caveman Blue,https://www.cheese.com/caveman-blue/,cow,United States,Oregon
Austrian Alps cheese,https://www.cheese.com/austrian-alps/,cow,Switzerland,
Prastost,https://www.cheese.com/prastost/,cow,Sweden,
Comte 12 months,https://www.cheese.com/comte-12-months/,cow,France,
Coastal Cheddar,https://www.cheese.com/coastal-cheddar/,cow,England,Dorset
Marble Cheese,https://www.cheese.com/marbled-cheeses/,cow,United Kingdom,
Lo Sburrato,https://www.cheese.com/lo-sburrato/,sheep,Italy,Tuscany
Milawa Brie,https://www.cheese.com/milawa-brie/,cow,Australia,North East Victoria
Applewood,https://www.cheese.com/applewood/,cow,"England, Great Britain, United Kingdom",Somerset
Crowley,https://www.cheese.com/crowley/,cow,United States,Vermont
Maytag Blue,https://www.cheese.com/maytag-blue/,cow,United States,Iowa
Bijou,https://www.cheese.com/bijou/,goat,United States,"Websterville, VT"
Sheep Gouda,https://www.cheese.com/sheep-gouda/,sheep,United States,Maine
Cambozola Grand Noir,https://www.cheese.com/cambozola-grand-noir/,cow,Germany,Allgäu
Somerset Organic Cheddar,https://www.cheese.com/somerset-organic-cheddar/,cow,United Kingdom,
Melinda Mae,https://www.cheese.com/melinda-mae/,cow,United States,"Lebanon, CT"
Blue Rathgore,https://www.cheese.com/blue-rathgore/,goat,Ireland,County Antrim
Smokey Mountain Round,https://www.cheese.com/smokey-mountain-round/,goat,United States,North Carolina
Cheddar LaDiDa Lavender,https://www.cheese.com/cheddar-ladida-lavender/,cow,United States,Oregon
Perroche,https://www.cheese.com/perroche/,goat,United Kingdom,"Herefordshire, West Midlands"
P'tit Berrichon,https://www.cheese.com/ptit-berrichon/,goat,France,Berry
