Pés²	Quartos	Banheiros	Vizinhança	AnoConstrução	Preço($)
2126	4	1	Rural	1969	21.535.528.361.820.100
2459	3	2	Rural	1980	19.501.422.162.584.800
1860	2	1	Subúrbio	1970	3.068.910.120.763.320
2294	2	1	Urbano	1996	20.678.678.715.332.600
2130	5	2	Subúrbio	2001	272.436.239.065.061
2095	2	3	Subúrbio	2020	19.820.880.390.657.100
2724	2	1	Subúrbio	1993	3.434.293.191.099.180
2044	4	3	Rural	1957	184.992.321.268.412
2638	4	3	Urbano	1959	37.799.858.815.204.100
1121	5	2	Urbano	2004	9.596.192.601.406.390
1466	5	3	Subúrbio	1951	1.911.137.686.788.600
2238	3	3	Subúrbio	1987	25.335.864.500.167.300
1330	2	2	Subúrbio	1992	1.321.723.926.169.810
2482	4	3	Subúrbio	1989	23.115.702.767.588.600
1087	4	1	Urbano	1976	11.839.382.316.264.300
2396	2	2	Subúrbio	1993	2.673.773.996.858.490
2123	5	2	Rural	1956	19.077.314.856.300.500
1871	4	2	Subúrbio	1977	17.298.980.490.101.400
2687	5	1	Urbano	1979	2.392.226.677.969.500
1130	4	3	Rural	1962	14.305.020.178.240.100
2685	4	3	Urbano	1999	40.552.382.831.733.900
2332	3	3	Rural	1978	2.639.541.540.627.710
1769	4	1	Subúrbio	1963	14.831.062.016.790.500
1343	2	3	Rural	2013	15.173.392.248.999.200
2515	2	3	Urbano	2013	3.079.611.073.823.950
2437	2	1	Rural	2004	27.616.286.180.465.200
1805	5	1	Rural	2002	2.439.852.054.715.820
1385	4	3	Rural	1996	8.803.054.185.271.670
2215	5	1	Urbano	1952	28.290.898.169.371.600
1955	3	1	Rural	2014	24.097.655.176.671.000
1276	4	1	Rural	1965	10.474.733.458.904.900
2184	2	2	Subúrbio	1959	34.720.738.956.128.300
1459	3	2	Rural	2006	774.939.314.389.322
2337	3	3	Subúrbio	2008	3.318.510.816.694.100
1021	4	3	Rural	2013	11.040.867.080.143.400
1252	2	1	Urbano	1993	12.793.275.677.961.800
1747	5	3	Rural	1982	2.286.832.269.961.870
1856	4	2	Rural	1959	12.471.170.785.494.600
2584	2	3	Subúrbio	2001	41.585.077.083.678.000
1474	3	3	Urbano	1959	18.481.996.119.001.500
2082	4	2	Subúrbio	1966	16.485.598.777.549.000
1510	3	2	Subúrbio	2002	15.692.801.471.681.400
2705	2	1	Urbano	1971	2.824.578.613.741.370
2499	5	1	Urbano	2021	2.875.916.728.221.950
1699	5	1	Rural	1960	1.563.135.941.951.280
1975	3	3	Subúrbio	2016	2.797.643.710.402.280
2806	3	3	Subúrbio	1962	36.649.448.060.208.800
1189	3	3	Urbano	2007	2.445.392.816.890.330
1957	4	2	Rural	1994	2.392.999.944.944.980
1686	2	3	Urbano	1994	24.914.834.468.610.100
1957	3	2	Rural	1992	3.041.975.798.399.540
1562	3	3	Rural	2013	8.937.855.062.087.670
2899	3	3	Rural	1988	4.272.954.046.033.160
2590	5	2	Subúrbio	1957	3.285.018.015.463.270
2267	3	2	Urbano	1989	2.158.674.189.845.810
1831	2	2	Rural	2000	1.900.588.928.999.770
2528	5	1	Urbano	1969	25.975.115.444.635.900
2154	2	1	Rural	2015	1.668.103.886.512.710
2508	5	3	Subúrbio	2007	3.529.321.624.639.020
2842	5	3	Urbano	2014	42.204.291.851.435.700
1646	4	3	Subúrbio	1994	9.142.361.964.633.200
1020	5	1	Rural	1983	2.200.538.603.574.210
1840	5	3	Subúrbio	1961	21.614.820.845.399.600
1166	2	2	Subúrbio	1972	16.158.715.372.788.300
2297	2	2	Urbano	2017	1.949.679.094.711.130
1387	3	1	Rural	2002	152.828.720.291.152
1600	4	2	Rural	2002	2.567.259.809.436.180
1315	5	2	Subúrbio	1989	9.803.930.310.069.730
1013	4	3	Urbano	2002	16.485.818.694.892.000
1241	3	2	Urbano	1985	19.937.318.209.909.100
1776	4	2	Urbano	2014	1.812.454.467.436.530
2369	5	1	Subúrbio	1963	2.097.007.184.829.420
1564	2	2	Rural	1983	1.630.533.920.501.940
1897	4	2	Rural	1975	30.400.468.986.597.700
2363	5	3	Urbano	2004	3.088.309.396.512.380
1091	3	3	Urbano	2012	19.429.400.184.175
2390	5	3	Urbano	2019	1.727.773.198.326.150
1955	4	1	Subúrbio	1995	19.765.607.026.552.500
2478	5	3	Urbano	1986	27.336.549.912.049.300
2451	5	2	Rural	1972	21.604.721.814.963.900
1508	4	1	Urbano	1965	14.958.615.312.931.200
1775	4	2	Subúrbio	1981	21.417.108.224.172.700
2966	3	2	Rural	1956	2.774.190.001.600.790
1034	5	3	Rural	1993	11.729.537.520.060.700
1205	2	1	Urbano	1996	180.760.867.453.112
2104	4	1	Subúrbio	1954	2.027.151.601.476.100
2955	5	3	Rural	2012	3.784.035.710.107.570
2585	2	1	Subúrbio	1961	2.577.760.924.243.200
2895	2	2	Subúrbio	2021	26.604.687.792.908.500
2411	5	1	Rural	1958	33.764.567.623.531.200
2025	5	2	Rural	1993	2.401.459.702.539.110
2021	5	1	Subúrbio	1971	9.264.162.211.021.260
2413	2	1	Urbano	1995	15.203.788.283.583.500
1565	5	3	Rural	1957	14.984.861.640.852.400
2129	4	3	Urbano	2005	22.038.443.445.019.600
2795	2	1	Rural	1977	30.565.856.385.268.300
2845	4	2	Urbano	1996	31.829.725.657.762.000
2500	4	3	Rural	1984	23.074.927.633.657.000
1702	5	3	Urbano	1970	20.192.584.088.885.200
1401	4	3	Subúrbio	1982	14.957.668.114.338.400
